"","aptID","Predicted_feats","pred_low","pred_high","pred_h_or_m"
"1",4,"low","True","False","low"
"2",6,"low","True","False","low"
"3",9,"low","True","False","low"
"4",10,"low","True","False","low"
"5",15,"low","True","False","low"
"6",16,"low","True","False","low"
"7",18,"low","True","False","low"
"8",19,"low","False","False","medium"
"9",23,"low","True","False","low"
"10",32,"low","True","False","low"
"11",33,"low","True","False","low"
"12",36,"low","True","False","low"
"13",38,"low","True","False","low"
"14",39,"low","True","False","low"
"15",42,"low","True","False","low"
"16",43,"medium","False","False","low"
"17",44,"low","True","False","low"
"18",46,"low","True","False","low"
"19",49,"low","True","False","low"
"20",61,"low","True","False","low"
"21",66,"medium","False","False","medium"
"22",67,"low","True","False","low"
"23",69,"low","True","False","low"
"24",74,"low","False","False","low"
"25",78,"low","True","False","low"
"26",80,"low","False","False","low"
"27",82,"low","True","False","low"
"28",83,"low","True","False","low"
"29",84,"low","True","False","low"
"30",85,"low","True","False","low"
"31",87,"low","True","False","low"
"32",88,"low","True","False","low"
"33",89,"low","True","False","low"
"34",92,"low","True","False","low"
"35",93,"low","True","False","low"
"36",101,"low","True","False","low"
"37",102,"low","True","False","low"
"38",104,"low","True","False","low"
"39",106,"low","False","False","low"
"40",107,"low","False","False","low"
"41",111,"medium","False","False","medium"
"42",113,"low","True","False","low"
"43",115,"low","True","False","low"
"44",117,"low","True","False","low"
"45",118,"low","True","False","low"
"46",121,"low","True","False","low"
"47",122,"low","True","False","low"
"48",133,"low","True","False","low"
"49",136,"low","True","False","low"
"50",139,"low","True","False","low"
"51",140,"medium","False","False","medium"
"52",145,"low","True","False","low"
"53",146,"low","True","False","low"
"54",151,"low","True","False","low"
"55",152,"low","True","False","low"
"56",158,"low","True","False","low"
"57",161,"low","True","False","low"
"58",170,"low","True","False","low"
"59",171,"low","False","False","low"
"60",181,"low","True","False","low"
"61",182,"low","True","False","low"
"62",186,"medium","True","False","low"
"63",192,"low","True","False","low"
"64",194,"low","True","False","low"
"65",200,"low","True","False","low"
"66",204,"low","True","False","low"
"67",205,"low","True","False","low"
"68",206,"low","True","False","low"
"69",208,"low","True","False","low"
"70",214,"low","True","False","low"
"71",217,"low","True","False","low"
"72",226,"low","True","False","low"
"73",228,"low","True","False","low"
"74",235,"low","True","False","low"
"75",236,"low","True","False","low"
"76",237,"low","True","False","low"
"77",241,"low","True","False","low"
"78",244,"low","True","False","low"
"79",245,"low","True","False","low"
"80",246,"low","True","False","low"
"81",247,"low","True","False","low"
"82",248,"low","True","False","low"
"83",249,"low","False","False","high"
"84",251,"low","True","False","low"
"85",252,"low","True","False","low"
"86",255,"low","True","False","low"
"87",257,"low","True","False","low"
"88",262,"low","False","False","low"
"89",263,"medium","False","False","low"
"90",272,"low","True","False","low"
"91",275,"low","True","False","low"
"92",277,"low","True","False","low"
"93",279,"medium","False","False","high"
"94",280,"low","True","False","low"
"95",282,"low","True","False","low"
"96",283,"low","True","False","low"
"97",284,"low","True","False","low"
"98",289,"low","True","False","low"
"99",291,"low","True","False","low"
"100",292,"low","True","False","low"
"101",293,"low","True","False","low"
"102",295,"low","True","False","low"
"103",296,"low","True","False","low"
"104",303,"low","True","False","low"
"105",304,"high","False","False","low"
"106",305,"medium","False","False","low"
"107",309,"low","True","False","low"
"108",311,"low","True","False","low"
"109",312,"low","True","False","low"
"110",313,"low","True","False","low"
"111",314,"low","True","False","low"
"112",315,"low","True","False","low"
"113",320,"low","True","False","low"
"114",322,"low","True","False","low"
"115",323,"low","True","False","low"
"116",325,"medium","False","False","low"
"117",332,"low","True","False","low"
"118",333,"low","True","False","low"
"119",335,"low","True","False","low"
"120",336,"low","True","False","low"
"121",337,"low","True","False","low"
"122",338,"low","True","False","low"
"123",340,"low","True","False","low"
"124",341,"low","True","False","low"
"125",343,"low","True","False","low"
"126",344,"low","True","False","low"
"127",348,"low","True","False","low"
"128",351,"medium","False","False","low"
"129",355,"low","False","False","low"
"130",356,"low","True","False","low"
"131",359,"low","False","False","medium"
"132",360,"low","True","False","low"
"133",361,"low","True","False","low"
"134",362,"low","True","False","low"
"135",365,"low","True","False","low"
"136",370,"high","False","True","high"
"137",373,"low","False","False","low"
"138",374,"low","True","False","low"
"139",375,"low","True","False","low"
"140",377,"low","True","False","low"
"141",379,"low","True","False","low"
"142",380,"low","True","False","low"
"143",381,"low","True","False","low"
"144",383,"low","True","False","low"
"145",386,"low","True","False","low"
"146",387,"low","True","False","low"
"147",390,"low","True","False","low"
"148",392,"low","True","False","low"
"149",393,"low","True","False","low"
"150",394,"high","False","True","low"
"151",396,"low","True","False","low"
"152",397,"low","True","False","low"
"153",398,"low","True","False","low"
"154",408,"low","True","False","low"
"155",409,"low","True","False","low"
"156",412,"low","True","False","low"
"157",415,"medium","False","False","low"
"158",417,"low","True","False","low"
"159",419,"high","False","True","low"
"160",424,"low","True","False","low"
"161",425,"low","True","False","low"
"162",437,"low","True","False","low"
"163",438,"low","True","False","low"
"164",440,"low","True","False","low"
"165",441,"medium","False","False","low"
"166",442,"low","True","False","low"
"167",444,"low","True","False","low"
"168",445,"high","False","True","low"
"169",446,"low","True","False","low"
"170",447,"low","True","False","low"
"171",449,"low","True","False","low"
"172",451,"medium","False","False","low"
"173",454,"low","True","False","low"
"174",458,"low","True","False","low"
"175",465,"low","True","False","low"
"176",466,"low","True","False","low"
"177",471,"low","True","False","low"
"178",472,"low","True","False","low"
"179",473,"low","True","False","low"
"180",474,"low","True","False","low"
"181",476,"low","True","False","low"
"182",479,"low","False","False","low"
"183",480,"low","True","False","low"
"184",481,"low","True","False","low"
"185",482,"low","True","False","low"
"186",483,"low","True","False","low"
"187",484,"medium","False","False","medium"
"188",486,"low","True","False","low"
"189",487,"medium","False","False","low"
"190",490,"medium","False","False","low"
"191",491,"low","True","False","low"
"192",494,"low","True","False","low"
"193",498,"low","True","False","low"
"194",499,"low","True","False","low"
"195",500,"low","True","False","low"
"196",506,"low","True","False","low"
"197",509,"low","True","False","low"
"198",510,"low","True","False","low"
"199",511,"medium","True","False","low"
"200",513,"low","True","False","low"
"201",514,"low","True","False","low"
"202",515,"low","True","False","low"
"203",518,"low","True","False","low"
"204",519,"low","True","False","low"
"205",521,"medium","False","False","low"
"206",529,"low","True","False","low"
"207",530,"low","True","False","low"
"208",534,"low","True","False","low"
"209",535,"low","True","False","low"
"210",536,"low","True","False","low"
"211",537,"low","True","False","low"
"212",538,"low","True","False","low"
"213",542,"low","True","False","low"
"214",548,"low","True","False","low"
"215",554,"low","True","False","low"
"216",555,"low","True","False","low"
"217",557,"low","True","False","low"
"218",558,"low","True","False","low"
"219",561,"low","True","False","low"
"220",563,"low","True","False","low"
"221",564,"low","True","False","low"
"222",567,"low","True","False","low"
"223",568,"low","True","False","low"
"224",569,"low","True","False","low"
"225",571,"low","True","False","low"
"226",572,"low","False","False","low"
"227",573,"low","True","False","low"
"228",576,"low","True","False","low"
"229",577,"low","True","False","low"
"230",582,"low","True","False","low"
"231",585,"low","True","False","low"
"232",587,"low","True","False","low"
"233",589,"low","True","False","low"
"234",590,"low","True","False","low"
"235",592,"low","True","False","low"
"236",597,"low","True","False","low"
"237",598,"low","True","False","low"
"238",599,"high","False","True","low"
"239",600,"low","True","False","low"
"240",604,"low","True","False","low"
"241",605,"low","True","False","low"
"242",607,"low","True","False","low"
"243",610,"low","True","False","low"
"244",614,"low","True","False","low"
"245",615,"low","True","False","low"
"246",620,"low","True","False","low"
"247",621,"low","True","False","low"
"248",622,"low","True","False","low"
"249",623,"low","True","False","low"
"250",624,"low","True","False","low"
"251",626,"low","True","False","low"
"252",629,"medium","False","False","low"
"253",631,"low","True","False","low"
"254",636,"low","True","False","low"
"255",638,"low","False","False","high"
"256",640,"low","True","False","low"
"257",641,"low","True","False","low"
"258",644,"low","True","False","low"
"259",645,"low","True","False","low"
"260",647,"low","True","False","low"
"261",648,"low","True","False","low"
"262",649,"low","True","False","low"
"263",651,"low","True","False","low"
"264",656,"low","True","False","low"
"265",657,"low","True","False","low"
"266",658,"low","True","False","low"
"267",659,"medium","False","False","low"
"268",662,"low","True","False","low"
"269",666,"low","True","False","low"
"270",669,"low","True","False","low"
"271",674,"low","True","False","low"
"272",675,"low","True","False","low"
"273",679,"low","True","False","low"
"274",681,"low","True","False","low"
"275",682,"low","True","False","low"
"276",685,"low","True","False","low"
"277",687,"low","True","False","low"
"278",692,"low","True","False","low"
"279",693,"low","True","False","low"
"280",694,"low","True","False","low"
"281",696,"low","True","False","low"
"282",699,"low","True","False","low"
"283",700,"low","True","False","low"
"284",703,"medium","False","False","medium"
"285",704,"low","True","False","low"
"286",705,"low","True","False","low"
"287",706,"low","True","False","low"
"288",707,"low","True","False","low"
"289",712,"low","True","False","low"
"290",714,"low","True","False","low"
"291",715,"low","True","False","low"
"292",716,"low","True","False","low"
"293",718,"low","True","False","low"
"294",720,"low","True","False","low"
"295",725,"low","True","False","low"
"296",728,"low","True","False","low"
"297",730,"low","True","False","low"
"298",735,"low","True","False","low"
"299",737,"low","True","False","low"
"300",740,"low","True","False","low"
"301",741,"low","True","False","low"
"302",742,"low","True","False","low"
