,aptID,Predicted_feats
0,4,low
1,6,low
2,9,low
3,10,low
4,15,low
5,16,low
6,18,low
7,19,low
8,23,low
9,32,low
10,33,low
11,36,low
12,38,low
13,39,low
14,42,low
15,43,medium
16,44,low
17,46,low
18,49,low
19,61,low
20,66,medium
21,67,low
22,69,low
23,74,low
24,78,low
25,80,low
26,82,low
27,83,low
28,84,low
29,85,low
30,87,low
31,88,low
32,89,low
33,92,low
34,93,low
35,101,low
36,102,low
37,104,low
38,106,low
39,107,low
40,111,medium
41,113,low
42,115,low
43,117,low
44,118,low
45,121,low
46,122,low
47,133,low
48,136,low
49,139,low
50,140,medium
51,145,low
52,146,low
53,151,low
54,152,low
55,158,low
56,161,low
57,170,low
58,171,low
59,181,low
60,182,low
61,186,medium
62,192,low
63,194,low
64,200,low
65,204,low
66,205,low
67,206,low
68,208,low
69,214,low
70,217,low
71,226,low
72,228,low
73,235,low
74,236,low
75,237,low
76,241,low
77,244,low
78,245,low
79,246,low
80,247,low
81,248,low
82,249,low
83,251,low
84,252,low
85,255,low
86,257,low
87,262,low
88,263,medium
89,272,low
90,275,low
91,277,low
92,279,medium
93,280,low
94,282,low
95,283,low
96,284,low
97,289,low
98,291,low
99,292,low
100,293,low
101,295,low
102,296,low
103,303,low
104,304,high
105,305,medium
106,309,low
107,311,low
108,312,low
109,313,low
110,314,low
111,315,low
112,320,low
113,322,low
114,323,low
115,325,medium
116,332,low
117,333,low
118,335,low
119,336,low
120,337,low
121,338,low
122,340,low
123,341,low
124,343,low
125,344,low
126,348,low
127,351,medium
128,355,low
129,356,low
130,359,low
131,360,low
132,361,low
133,362,low
134,365,low
135,370,high
136,373,low
137,374,low
138,375,low
139,377,low
140,379,low
141,380,low
142,381,low
143,383,low
144,386,low
145,387,low
146,390,low
147,392,low
148,393,low
149,394,high
150,396,low
151,397,low
152,398,low
153,408,low
154,409,low
155,412,low
156,415,medium
157,417,low
158,419,high
159,424,low
160,425,low
161,437,low
162,438,low
163,440,low
164,441,medium
165,442,low
166,444,low
167,445,high
168,446,low
169,447,low
170,449,low
