,aptID,interest_level,predOnDesc,pred_low,pred_high,pred_h_or_m,Predicted_feats
0,4,medium,medium,True,False,medium,low
1,6,low,medium,True,False,is_low,low
2,9,medium,low,True,False,medium,low
3,10,medium,medium,True,False,medium,low
4,15,low,low,True,False,is_low,low
5,16,low,medium,True,False,is_low,low
6,18,low,medium,True,False,is_low,low
7,19,high,medium,False,False,medium,low
8,23,low,low,True,False,is_low,low
9,32,low,high,True,False,is_low,low
10,33,low,low,True,False,is_low,low
11,36,low,medium,True,False,is_low,low
12,38,medium,low,True,False,medium,low
13,39,low,medium,True,False,is_low,low
14,42,low,low,True,False,is_low,low
15,43,low,medium,False,False,is_low,medium
16,44,low,low,True,False,is_low,low
17,46,high,medium,True,False,high,low
18,49,low,low,True,False,is_low,low
19,61,low,low,True,False,is_low,low
20,66,low,low,False,False,is_low,medium
21,67,low,low,True,False,is_low,low
22,69,low,low,True,False,is_low,low
23,74,low,low,False,False,is_low,low
24,78,medium,medium,True,False,medium,low
25,80,low,low,False,False,is_low,low
26,82,low,low,True,False,is_low,low
27,83,low,low,True,False,is_low,low
28,84,low,low,True,False,is_low,low
29,85,low,low,True,False,is_low,low
30,87,low,medium,True,False,is_low,low
31,88,high,low,True,False,medium,low
32,89,medium,medium,True,False,medium,low
33,92,medium,medium,True,False,medium,low
34,93,high,high,True,False,medium,low
35,101,low,low,True,False,is_low,low
36,102,low,low,True,False,is_low,low
37,104,low,low,True,False,is_low,low
38,106,low,low,False,False,is_low,low
39,107,low,low,False,False,is_low,low
40,111,medium,low,False,False,medium,medium
41,113,low,low,True,False,is_low,low
42,115,high,low,True,False,medium,low
43,117,low,low,True,False,is_low,low
44,118,low,low,True,False,is_low,low
45,121,low,low,True,False,is_low,low
46,122,low,low,True,False,is_low,low
47,133,low,low,True,False,is_low,low
48,136,low,high,True,False,is_low,low
49,139,medium,medium,True,False,medium,low
50,140,low,low,False,False,is_low,medium
51,145,low,low,True,False,is_low,low
52,146,low,low,True,False,is_low,low
53,151,low,low,True,False,is_low,low
54,152,low,low,True,False,is_low,low
55,158,low,low,True,False,is_low,low
56,161,high,low,True,False,medium,low
57,170,low,low,True,False,is_low,low
58,171,low,low,False,False,is_low,low
59,181,low,low,True,False,is_low,low
60,182,low,low,True,False,is_low,low
61,186,high,high,True,False,medium,medium
62,192,low,low,True,False,is_low,low
63,194,low,low,True,False,is_low,low
64,200,low,low,True,False,is_low,low
65,204,low,low,True,False,is_low,low
66,205,medium,medium,True,False,medium,low
67,206,medium,medium,True,False,medium,low
68,208,low,low,True,False,is_low,low
69,214,low,medium,True,False,is_low,low
70,217,low,low,True,False,is_low,low
71,226,low,low,True,False,is_low,low
72,228,low,low,True,False,is_low,low
73,235,medium,low,True,False,medium,low
74,236,medium,low,True,False,medium,low
75,237,low,low,True,False,is_low,low
76,241,low,low,True,False,is_low,low
77,244,low,low,True,False,is_low,low
78,245,low,low,True,False,is_low,low
79,246,low,low,True,False,is_low,low
80,247,low,low,True,False,is_low,low
81,248,low,low,True,False,is_low,low
82,249,medium,low,False,False,medium,low
83,251,low,low,True,False,is_low,low
84,252,low,low,True,False,is_low,low
85,255,low,low,True,False,is_low,low
86,257,low,low,True,False,is_low,low
87,262,low,medium,False,False,is_low,low
88,263,low,low,False,False,is_low,medium
89,272,low,low,True,False,is_low,low
90,275,low,low,True,False,is_low,low
91,277,low,low,True,False,is_low,low
92,279,low,high,False,False,is_low,medium
93,280,medium,low,True,False,medium,low
94,282,low,low,True,False,is_low,low
95,283,low,low,True,False,is_low,low
96,284,low,low,True,False,is_low,low
97,289,low,low,True,False,is_low,low
98,291,low,low,True,False,is_low,low
99,292,low,low,True,False,is_low,low
100,293,low,low,True,False,is_low,low
101,295,medium,medium,True,False,medium,low
102,296,medium,medium,True,False,medium,low
103,303,medium,medium,True,False,medium,low
104,304,medium,medium,False,False,high,high
105,305,medium,medium,False,False,medium,medium
106,309,low,low,True,False,is_low,low
107,311,low,low,True,False,is_low,low
108,312,low,low,True,False,is_low,low
109,313,low,low,True,False,is_low,low
110,314,medium,medium,True,False,medium,low
111,315,low,low,True,False,is_low,low
112,320,high,low,True,False,medium,low
113,322,low,medium,True,False,is_low,low
114,323,low,high,True,False,is_low,low
115,325,medium,low,False,False,medium,medium
116,332,low,medium,True,False,is_low,low
117,333,low,low,True,False,is_low,low
118,335,medium,low,True,False,medium,low
119,336,medium,low,True,False,medium,low
120,337,low,low,True,False,is_low,low
121,338,low,low,True,False,is_low,low
122,340,medium,medium,True,False,medium,low
123,341,low,low,True,False,is_low,low
124,343,low,low,True,False,is_low,low
125,344,medium,low,True,False,medium,low
126,348,medium,low,True,False,medium,low
127,351,medium,medium,False,False,medium,medium
128,355,medium,medium,False,False,medium,low
129,356,low,low,True,False,is_low,low
130,359,medium,low,False,False,medium,low
131,360,medium,low,True,False,medium,low
132,361,low,low,True,False,is_low,low
133,362,low,low,True,False,is_low,low
134,365,medium,low,True,False,medium,low
135,370,high,low,False,True,high,high
136,373,low,medium,False,False,is_low,low
137,374,low,medium,True,False,is_low,low
138,375,low,low,True,False,is_low,low
139,377,medium,low,True,False,high,low
140,379,medium,medium,True,False,medium,low
141,380,low,low,True,False,is_low,low
142,381,low,low,True,False,is_low,low
143,383,low,medium,True,False,is_low,low
144,386,medium,low,True,False,medium,low
145,387,medium,low,True,False,medium,low
146,390,low,high,True,False,is_low,low
147,392,low,low,True,False,is_low,low
148,393,high,high,True,False,medium,low
149,394,low,high,False,True,is_low,high
150,396,low,low,True,False,is_low,low
151,397,medium,low,True,False,medium,low
152,398,low,low,True,False,is_low,low
153,408,low,low,True,False,is_low,low
154,409,low,low,True,False,is_low,low
155,412,low,high,True,False,is_low,low
156,415,low,low,False,False,is_low,medium
157,417,low,low,True,False,is_low,low
158,419,low,low,False,True,is_low,high
159,424,low,low,True,False,is_low,low
160,425,medium,medium,True,False,medium,low
161,437,high,low,True,False,medium,low
162,438,high,medium,True,False,medium,low
